date,action,reason,position,regime,close
2022-11-28,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,下行趋势,378.8349304199219
2022-11-29,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,378.1842956542969
2022-12-01,CIRCUIT_BREAKER,组合回撤 -15.0% 超过限制 15%,0.3,正常上涨,389.81024169921875
2022-12-02,CIRCUIT_BREAKER,组合回撤 -15.1% 超过限制 15%,0.3,正常上涨,389.3605041503906
2022-12-05,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,下行趋势,382.3562927246094
2022-12-06,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,376.8446044921875
2022-12-07,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,376.20355224609375
2022-12-08,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,下行趋势,379.1507263183594
2022-12-09,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,376.31842041015625
2022-12-12,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,381.7438049316406
2022-12-13,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,正常上涨,384.6335754394531
2022-12-14,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,下行趋势,382.1744079589844
2022-12-15,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,下行趋势,372.8258361816406
2022-12-16,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,下行趋势,368.42413330078125
2022-12-19,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,下行趋势,365.300048828125
2022-12-20,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,365.7999267578125
2022-12-21,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,下行趋势,371.2695007324219
2022-12-22,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,365.97296142578125
2022-12-23,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,368.0780944824219
2022-12-27,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,366.6266174316406
2022-12-28,CIRCUIT_BREAKER,组合回撤 -16.9% 超过限制 15%,0.3,下行趋势,362.0701904296875
2022-12-29,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,下行趋势,368.5876159667969
2022-12-30,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,367.61676025390625
2023-01-03,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,下行趋势,366.069091796875
2023-01-04,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,下行趋势,368.89520263671875
2023-01-05,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,下行趋势,364.6848449707031
2023-01-06,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,下行趋势,373.0478210449219
2023-01-09,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,下行趋势,372.83636474609375
2023-01-10,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,375.45098876953125
2023-01-11,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,正常上涨,380.19964599609375
2023-01-12,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,正常上涨,381.5838928222656
2023-01-13,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,正常上涨,383.064208984375
2023-01-17,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,正常上涨,382.3625183105469
2023-01-18,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,下行趋势,376.3258056640625
2023-01-19,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,下行趋势,373.586181640625
2023-01-20,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,正常上涨,380.5456848144531
2023-01-23,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,正常上涨,385.1117858886719
2023-01-24,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,正常上涨,384.6983947753906
2023-01-25,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,正常上涨,384.84259033203125
2023-01-26,CIRCUIT_BREAKER,组合回撤 -15.0% 超过限制 15%,0.3,正常上涨,389.0721435546875
2023-01-30,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,强势上涨,385.0732727050781
2023-01-31,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,强势上涨,390.7351379394531
2023-02-01,CIRCUIT_BREAKER,组合回撤 -15.1% 超过限制 15%,0.3,强势上涨,394.8877868652344
2023-02-03,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,强势上涨,396.3777770996094
2023-02-06,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,强势上涨,393.95538330078125
2023-02-07,CIRCUIT_BREAKER,组合回撤 -15.2% 超过限制 15%,0.3,强势上涨,399.10772705078125
2023-02-08,CIRCUIT_BREAKER,组合回撤 -15.4% 超过限制 15%,0.3,强势上涨,394.74359130859375
2023-02-09,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,强势上涨,391.3215026855469
2023-02-10,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,强势上涨,392.2347106933594
2023-02-13,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,强势上涨,396.8391418457031
2023-02-14,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,强势上涨,396.6565246582031
2023-02-15,CIRCUIT_BREAKER,组合回撤 -15.2% 超过限制 15%,0.3,强势上涨,397.9447021484375
2023-02-16,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,强势上涨,392.4654235839844
2023-02-17,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,强势上涨,391.48492431640625
2023-02-21,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,383.6313171386719
2023-02-22,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,383.10272216796875
2023-02-23,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,回调,385.140625
2023-02-24,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,回调,381.0263366699219
2023-02-27,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,382.3240966796875
2023-02-28,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,回调,380.9109802246094
2023-03-01,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,回调,379.4498596191406
2023-03-02,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,382.4010009765625
2023-03-03,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,回调,388.5337829589844
2023-03-06,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,正常上涨,388.80303955078125
2023-03-07,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,382.8431091308594
2023-03-08,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,383.4680480957031
2023-03-09,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,回调,376.39306640625
2023-03-10,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,强势上涨,370.9618835449219
2023-03-13,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,强势上涨,370.43316650390625
2023-03-14,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,回调,376.5564880371094
2023-03-15,CIRCUIT_BREAKER,组合回撤 -16.8% 超过限制 15%,0.3,震荡,374.20135498046875
2023-03-16,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,回调,380.7668151855469
2023-03-17,CIRCUIT_BREAKER,组合回撤 -16.6% 超过限制 15%,0.3,回调,376.3145751953125
2023-03-20,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,回调,379.9331359863281
2023-03-21,CIRCUIT_BREAKER,组合回撤 -16.1% 超过限制 15%,0.3,回调,384.9218444824219
2023-03-22,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,回调,378.3602600097656
2023-03-23,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,回调,379.38311767578125
2023-03-24,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,回调,381.8727111816406
2023-03-27,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,回调,382.58673095703125
2023-03-28,CIRCUIT_BREAKER,组合回撤 -16.3% 超过限制 15%,0.3,回调,381.7278747558594
2023-03-29,CIRCUIT_BREAKER,组合回撤 -15.9% 超过限制 15%,0.3,回调,387.27630615234375
