Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AMZN|2025-02-21,AMZN,2025/2/21,223.28,223.31,214.74,216.58,222.88,0.001794688,-0.030007166,0.013079679
AMZN|2025-02-24,AMZN,2025/2/24,217.45,217.715,212.42,212.71,216.58,0.004016991,-0.021798115,0.011129441
AMZN|2025-02-25,AMZN,2025/2/25,211.63,213.34,204.16,212.8,212.71,-0.005077335,0.005528517,0.005257808
AMZN|2025-02-26,AMZN,2025/2/26,214.94,218.16,213.09,214.35,212.8,0.010056391,-0.002744952,0.007131815
AMZN|2025-02-27,AMZN,2025/2/27,218.35,219.97,208.37,208.74,214.35,0.018661068,-0.044011907,0.028801404
AMZN|2025-02-28,AMZN,2025/2/28,208.65,212.62,206.99,212.28,208.74,-0.000431158,0.017397556,0.007217717
AMZN|2025-03-03,AMZN,2025/3/3,213.352,214.01,202.55,205.02,212.28,0.005049934,-0.039052833,0.018651094
AMZN|2025-03-04,AMZN,2025/3/4,200.11,206.8,197.432,203.8,205.02,-0.023948883,0.018439858,0.021745273
AMZN|2025-03-05,AMZN,2025/3/5,204.8,209.98,203.26,208.36,203.8,0.004906771,0.017382813,0.009897188
AMZN|2025-03-06,AMZN,2025/3/6,204.4,205.77,198.3015,200.7,208.36,-0.019005567,-0.018101761,0.018644045
AMZN|2025-03-07,AMZN,2025/3/7,199.49,202.2653,192.53,199.25,200.7,-0.006028899,-0.001203068,0.004098566
AMZN|2025-03-10,AMZN,2025/3/10,195.6,196.73,190.85,194.54,199.25,-0.018318695,-0.005419223,0.013158906
AMZN|2025-03-11,AMZN,2025/3/11,193.9,200.18,193.4,196.59,194.54,-0.003289812,0.01387313,0.007523139
AMZN|2025-03-12,AMZN,2025/3/12,200.72,201.52,195.29,198.89,196.59,0.02100819,-0.009117178,0.016251785
AMZN|2025-03-13,AMZN,2025/3/13,198.165,198.8799,191.82,193.89,198.89,-0.003645231,-0.021572932,0.010816311
AMZN|2025-03-14,AMZN,2025/3/14,197.41,198.65,195.32,197.95,193.89,0.018154624,0.002735424,0.011986944
AMZN|2025-03-17,AMZN,2025/3/17,198.77,199,194.3247,195.74,197.95,0.00414246,-0.015243749,0.008582976
AMZN|2025-03-18,AMZN,2025/3/18,192.52,194,189.38,192.82,195.74,-0.016450393,0.00155828,0.010493548
AMZN|2025-03-19,AMZN,2025/3/19,193.38,195.965,191.96,195.54,192.82,0.002904263,0.011169718,0.006210445
AMZN|2025-03-20,AMZN,2025/3/20,193.07,199.32,192.3,194.95,195.54,-0.012631687,0.009737401,0.011473972
AMZN|2025-03-21,AMZN,2025/3/21,192.9,196.99,192.52,196.21,194.95,-0.010515517,0.01715915,0.01317297
AMZN|2025-03-24,AMZN,2025/3/24,200,203.64,199.95,203.26,196.21,0.019316039,0.0163,0.018109623
AMZN|2025-03-25,AMZN,2025/3/25,203.595,206.21,203.22,205.71,203.26,0.001648135,0.010388271,0.00514419
AMZN|2025-03-26,AMZN,2025/3/26,205.835,206.01,199.925,201.13,205.71,0.000607652,-0.022858115,0.009507837
AMZN|2025-03-27,AMZN,2025/3/27,200.89,203.79,199.2821,201.36,201.13,-0.001193258,0.002339589,0.00165179
AMZN|2025-03-28,AMZN,2025/3/28,198.42,199.26,191.881,192.72,201.36,-0.014600715,-0.028726943,0.020251206
AMZN|2025-03-31,AMZN,2025/3/31,188.19,191.33,184.4,190.26,192.72,-0.023505604,0.010999522,0.018503171
AMZN|2025-04-01,AMZN,2025/4/1,187.86,193.93,187.2,192.17,190.26,-0.012614317,0.022942617,0.016745637
AMZN|2025-04-02,AMZN,2025/4/2,187.66,198.34,187.66,196.01,192.17,-0.023468804,0.044495364,0.031879428
AMZN|2025-04-03,AMZN,2025/4/3,182.995,184.13,176.92,178.41,196.01,-0.066399673,-0.025055329,0.049861936
AMZN|2025-04-04,AMZN,2025/4/4,167.145,178.1436,166,171,178.41,-0.06314108,0.023063807,0.04711017
AMZN|2025-04-07,AMZN,2025/4/7,162,183.4099,161.38,175.26,171,-0.052631579,0.081851852,0.064319688
AMZN|2025-04-08,AMZN,2025/4/8,185.23,185.9,168.57,170.66,175.26,0.056886911,-0.078658965,0.065595732
AMZN|2025-04-09,AMZN,2025/4/9,172.115,192.65,169.93,191.1,170.66,0.008525724,0.110304157,0.049237097
AMZN|2025-04-10,AMZN,2025/4/10,185.44,186.8692,175.8518,181.22,191.1,-0.029618001,-0.022756687,0.026873475
AMZN|2025-04-11,AMZN,2025/4/11,179.93,185.86,178,184.87,181.22,-0.00711842,0.027455121,0.0152531
AMZN|2025-04-14,AMZN,2025/4/14,186.84,187.44,179.23,182.12,184.87,0.010656137,-0.025262256,0.016498585
AMZN|2025-04-15,AMZN,2025/4/15,181.41,182.35,177.9331,179.59,182.12,-0.003898528,-0.010032523,0.006352126
AMZN|2025-04-16,AMZN,2025/4/16,176.29,179.1046,171.41,174.33,179.59,-0.018375188,-0.011118044,0.01547233
AMZN|2025-04-17,AMZN,2025/4/17,176,176.21,172,172.61,174.33,0.009579533,-0.019261364,0.013452265
AMZN|2025-04-21,AMZN,2025/4/21,169.6,169.6,165.285,167.32,172.61,-0.017438155,-0.013443396,0.015840252
AMZN|2025-04-22,AMZN,2025/4/22,169.845,176.78,169.35,173.18,167.32,0.015090844,0.01963555,0.016908726
AMZN|2025-04-23,AMZN,2025/4/23,183.45,187.38,180.19,180.6,173.18,0.05930246,-0.015535568,0.041795703
AMZN|2025-04-24,AMZN,2025/4/24,180.915,186.74,180.18,186.54,180.6,0.001744186,0.031091949,0.013483291
AMZN|2025-04-25,AMZN,2025/4/25,187.62,189.94,185.49,188.99,186.54,0.005789643,0.007301993,0.006394583
AMZN|2025-04-28,AMZN,2025/4/28,190.105,190.22,184.885,187.7,188.99,0.005899783,-0.012650903,0.008600231
AMZN|2025-04-29,AMZN,2025/4/29,183.99,188.0158,183.68,187.39,187.7,-0.019765583,0.018479265,0.019251056
AMZN|2025-04-30,AMZN,2025/4/30,182.17,185.05,178.85,184.42,187.39,-0.027856342,0.012351101,0.021654246
AMZN|2025-05-01,AMZN,2025/5/1,190.63,191.8071,187.5,190.2,184.42,0.033673137,-0.002255679,0.021106154
